bbl,exemptions,registered_stabilized_apts,pluto_apts,estimated_gross_income,estimated_expenses
1022410007,421a (25 yr not cap,5,6,43200,
1022410008,421a (25 yr not cap,5,6,43200,
1022410009,421a (25 yr not cap,5,6,43200,
1021200066,421a (15 yr not cap),16,16,420000,84000
1021700281,421a (15 yr not cap),30,30,28300,5800
1021800513,421a (15 yr not cap),85,63,156000,34400
1022180035,421a (25 yr not cap,100,100,171000,24000
2022930052,421a (15 yr not cap),,10,263319,118619
2022950067,421a (25 yr not cap,60,60,64250,11250
2023660022,421a (25 yr not cap,77,77,2.65593e+06,1.14087e+06
2032850039,421a (25 yr not cap,,3,,
2032850040,421a (25 yr not cap,,3,,
2032850050,421a (25 yr not cap,,3,,
2032850051,421a (25 yr not cap,,3,,
2032850138,421a (25 yr not cap,,3,,
2032850140,421a (25 yr not cap,,3,,
2032920089,421a (25 yr not cap,,3,,
2032920187,421a (25 yr not cap,,3,,
2033000080,421a (25 yr not cap,,3,,
2033020051,421a (25 yr not cap,,3,,
2033020052,421a (25 yr not cap,,3,,
2023660037,421a (25 yr not cap,80,80,2.37495e+06,1.06986e+06
2023670001,421a (25 yr not cap,136,136,2.18164e+06,2.18164e+06
2033330008,421a (25 yr not cap,,3,,
2033330108,421a (25 yr not cap,,3,,
2033640025,421a (15 yr not cap),,3,,
2033640125,421a (15 yr not cap),,3,,
2033640126,421a (15 yr not cap),,3,,
2033640127,421a (15 yr not cap),,3,,
2033650055,421a (15 yr not cap),,3,,
2035110003,421a (25 yr not cap,,3,,
2035110005,421a (25 yr not cap,,3,,
2037610143,421a (25 yr not cap,,3,,
2037770158,421a (25 yr not cap,,3,,
2037770159,421a (25 yr not cap,,3,,
2037770160,421a (25 yr not cap,,3,,
2037770161,421a (25 yr not cap,,3,,
2038010018,421a (25 yr not cap,,3,,
2038010019,421a (25 yr not cap,,3,,
2038010020,421a (25 yr not cap,,3,,
2038070014,421a (25 yr not cap,,3,,
2038070015,421a (25 yr not cap,,3,,
2038070016,421a (25 yr not cap,,3,,
2038200076,421a (25 yr not cap,,3,,
